,data
0,"[""At level 2 which is larger: ``Cabinet Agencies'' or `Miscellaneous Agencies?''""]"
1,"[""Do the names of all of the level 3 items under ``Cabinet Agencies'' start with the word ``Department''?""]"
2,"[""What is the name of the largest Department (level 3) under ``Cabinet Agencies?''""]"
3,"[""What is the value of ``Health Care Financing\nAdministration'' (level 4) under ``Department of Health?''""]"
4,"[""What is the name of the largest level 4 item under ``Department of Defense_Military?''""]"
5,"[""What is the name of the largest level 4 item in the entire ``1992 US Budget?''""]"
6,"[""What is the value of ``Department of Treasury'' (level 3)?""]"
7,"[""Is ``Interest on the Public Debt'' more than half of the\n``Department of Treasury?''""]"
8,"['Name the 7 level 4 items exceeding 50,000 in order of \ndecreasing value?']"
9,['Binary or n-ary tree?']
10,['Balanced or unbalanced tree?']
11,['Deepest common ancestor?']
12,['Number of levels?']
13,['Three largest leaves?']
14,['What is the maximum depth of the eBay hierarchy?']
15,['Is the tree balanced or unbalanced?']
16,"['Find the name of the parent directory of the directory ""BMW"".']"
17,['Which directory has the greatest number of immediate subdirectories?']
18,['Which bottom-level directory of the eBay item hierarchy has the largest number of files?']
19,['Find the directory that contains the most .png type files.']
20,"['Which directory includes a deeper hierarchy: ""Flutes"" or ""Guitars""?']"
21,"['Find the two duplicate occurrences of the directory ""1869"". Indicate their pathnames.']"
22,['Find a file of type .css and write down its name.']
23,['What is the name of the largest file in the eBay items hierarchy?']
24,['Find the number of directories WITHOUT a file of type .js.']
25,['Identify the largest and second largest leaf.']
26,['Identify the largest node.']
27,"['Locate a leaf, given its entire path and name.']"
28,['Identify a node containing a specific type of leaf nodes.']
29,['Compare two leaf nodes by size and identify the larger.']
30,['Locate two duplicated nodes containing the same leaves']
31,['Compare two nodes by size and identify the larger']
32,['Compare two nodes and find the node with highest leaves.']
33,['Find the least common ancestor']
34,['Overview Large Trees with Multiple Foci*']
35,"['Node searches (e.g. find kangaroo, find planaria)']"
36,['Search of previously visited nodes']
37,['Listing all the ancestors of a node']
38,['Find 3 nodes that have more than 10 direct descendants']
39,"[""Which of the 3 branches of `measurements' contains a larger number of nodes""]"
40,['Follow Path: New Zealand to Canterbury to Christchurch to Sumner']
41,['Identify similar nodes based on their name (Folder names are similar)*']
42,['Identify similar subtrees based on their size (number of files and subdirectories are the same)*']
43,['Identify similar subtrees based on the constituent file/folder content/type (one folder contains many mp3 files)*']
